,full_text,sentiment,emotion
57,"@Danielacad3 FICO PRESIDENTE Y SIN TANTA VUELTA
Y Petro el candidato eterno, que alguien le haga un dibujito ya que le hemos dicho en repetidas ELECCIONES que Colombia NO lo quiere y el nada que entiende y pretende robarse las elecciones a fraude , amenazas , terror o comprando conciencias",negative,anger
435,Se iniciaron los simulacros de las elecciones de presidente 2022 https://t.co/07SWb8GAT1  / @Registraduria,neutral,joy
146,"Se nos van a robar las elecciones ... Tibisay Vega no se va 😔 y Colombia trinando, hay que hacer algo...",negative,sadness
432,"@jbagbam Totalmente, la única forma de que la izquierda radical gane en Colombia es que se roben las elecciones, ellos lo saben y por eso metieron a este criminal como registrador. Deben echarlo ya antes que sea demasiado tarde.",negative,sadness
179,@Registraduria @PGN_COL @CGR_Colombia @moecolombia me sorprende tanta campaña para demostrar claridad de las elecciones y ni así solo saben decir fraude pero nunca los veo en las verificaciones,negative,anger
479,"@Marbelle30 Imagínense que Colombia está tan llevada del P... que petro ganará las próximas elecciones presidenciales, la gente está mamada, cansada del uribismo como les parece pues , en medio del desespero de siempre  lo mismo y nada de progreso,  prefieren la incertidumbre con petro .",negative,sadness
10,"La cuenta regresiva para las elecciones presidenciales de Colombia se encuentra en su recta final, y el candidato que cuenta de acuerdo a la encuestas con mayor intención de votos es Gustavo Petro #7May https://t.co/JVyQw3MCv7",neutral,joy
291,"@NTN24ve pobre colombia, tan ignorante como lo fue venezuela en diversas elecciones..",negative,anger
430,"@jojojorge_ Aquí lo podés encontrar. 

https://t.co/GZQIklXmNZ",neutral,joy
421,"@Elecciones_OJO @petrogustavo Usted habla de Uribe, yó estoy hablando del proximo PRESIDENTE de Colombia, le exijo respeto por la primera autoridad del país:  FICO PRESIDENTE https://t.co/bmMnu6Di2f",negative,joy
617,"Petro se está convirtiendo en un peligro para la seguridad nacional de Colombia. 

https://t.co/86BnUWZIVc",negative,fear
220,"AGUSTÍN LAJE HABLA SOBRE LAS ELECCIONES EN COLOMBIA.
""En primera vuelta voten por el mejor""
https://t.co/POHxAx6nVv",neutral,joy
109,"Qué buena esta herramienta de @elespectador para encontrar el candidato afín a la visión de país que uno quiere. #Recomendada ✅
Útil y pedagógica. 
#MatchPresidencial 
https://t.co/mIcCgFHjXy",positive,joy
108,@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Hace 4 años un perro rabioso se robó las elecciones,negative,anger
6,Por fin lo dijo: Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/x6tAhI8K0f,negative,anger
264,"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/FiJfeEuXCa",neutral,joy
319,"@CeDemocratico NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
250,"@Salu_Macallan8 @FuerzasMilCol @PoliciaColombia NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
104,"@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Y es que la procuraduria existe en colombia ?vea ps ,la hora de aparecer a 15 dias de elecciones presidenciales cuando ya no hay nada que hacer muy charros",negative,anger
11,Paloma Valencia rechaza que la Registraduría y el CNE sean quienes contraten la auditoría en las elecciones https://t.co/AJDHCBt0X5,neutral,joy
490,ESTO ES LO QUE LE ESPERA A COLOMBIA 🇨🇴 SI PETRO GANA LAS ELECCIONES SU PROPIEDAD Y LA DE TODOS LOS COLOMBIANOS SERÁN QUEMADOS SUS PROPIEDADES  EXPROPIADAS OJO COLOMBIA 🇨🇴  https://t.co/FwhicXJj3D,negative,fear
102,"No les parece raro q a pocos días de las elecciones presidenciales en colombia extraditen un narcotraficante para ocultar la verdad, y como consecuencia de esto desencadena un paro armado en algunas regiones del país. Quieren salvar a colombia de Petro! Se necesita un cambio ya!!",negative,anger
213,"#Video | Solo un candidato lo ha logrado en la historia reciente de Colombia: Álvaro Uribe Vélez en las elecciones del 2002. 
https://t.co/3nemYfAN3A",neutral,sadness
525,"#ElRiesgoEs que se roben las elecciones, gane Petro y Colombia 🇨🇴 pierda la democracia!",negative,sadness
618,"@lcvelez El mayor riesgo es:
1. Que nadie nos garantice unas elecciones sin freude.
2. Si pierde petro, arderá Colombia...sí gana ...también.",negative,fear
183,@BecerraGabo @heidy_up @AidaAvellaE @AlirioUribeMuoz @delmarpizarro @HERACLITOL @DavidRacero @petrogustavo @FranciaMarquezM @UP_Colombia Se activan los colectivos uribistas al ver perdidas las elecciones ajuaaaaaa #ParoArmado,negative,fear
120,"La polarización nos destruye!

Menos mal que la mayoría de colombianos tenemos ideología de centro! Tenemos el poder de salvar a nuestra familia de esta crisis que se avecina!

La opción de cambio es @sergio_fajardo
#FirmesConFajardo
#UnPresidenteProfesor

https://t.co/GF4Fb9yOaz",negative,fear
197,"@PATATAdibujo Total que bajeza, no eso no se hace, como duelen estás elecciones en Colombia, por un lado los candidatos con hambre de poder, por el otro los colombianos aburridos porque estamos en el escenario del menos peor y pa rematar un odio brutal entre todos, Colombia dueles",negative,sadness
468,"“Petro ha hecho oferta de indulto a nombre de los narcos. Tiene que aclarar ese negocio”. Incluso afirma que “el Caballo de Troya del narcotráfico en las elecciones en Colombia es Gustavo Petro y su jinete es Iván Cepeda”
@AndresPastrana_ https://t.co/ypGm6I2Mxt",negative,sadness
527,"En Colombia los amigos de @AlvaroUribeVel haciendo de las suyas!
Recuerden que hace falta 23 días para las elecciones y necesitan vender el cuento de la seguridad democrática a sangre y fuego. https://t.co/Zr9BgNQys8",negative,sadness
278,"El bachiller Ernesto Macías, alertando sobre el robo de las elecciones, como no pudo esquilar más, acostumbrado a  comprar votos y conciencia, como todo Uberrimominista rastreros son los costreñidores, atemorizar es constancia, Colombia desperto por la Vida",negative,anger
62,"@ramsisHG7 @arnold3m @Camilo_QuevedoC @PATATAdibujo A ver papito, estas son las elecciones presidenciales. Por si no sabía un presidente dirige todo un país, en este caso Colombia, el cual incluye también a Cali. Así que no importa el color de piel o la ciudad, a todos nos incumbe pedazo de tarado y racista",negative,fear
249,"@valticam Blodel, no se que esta pasando por allá, pero si se nota que están en elecciones porque todo el que sigo de Colombia solo tira hate de un lado pa otro. Estando acá viendolo todo descontextualizado pero en conjunto , se siente muy caótico .",negative,fear
169,"@RevistaSemana Una pregunta seria, cada vez que hagamos elecciones en Colombia vamos a vivir este psicoterror de una parranda de bandoleros y delincuentes tratando de tomar el poder y terminar de joder  Colombia ?",negative,sadness
166,"Colombia es estado fallido y pretenden ser juez de países vecinos circundantes, el matarife
@AlvaroUribeVel, no puede (ó no quiere) parar a sus paracos.
Triste vida la de los más pobres en ese país de grandes perspectivas, Dios les ilumine y den vuelta de timón en las elecciones.",negative,sadness
272,¿Cómo lucían los demás tarjetones? 👇¿Cree usted que se evidencia el cambio de un bipartidismo a un sistema de caudillos? https://t.co/7jcyCwQuni,negative,fear
236,".@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/nGPrGh6HUb",neutral,sadness
239,"@Rettador @petrogustavo @Registraduria @PactoHistorico NO IMPORTA que salgamos a votar 20 millones por @FicoGutierrez ,El registrador ""Tibisay VEGA"" y el @CNE_COLOMBIA al servicio de las 2 Prostitutas de la Justicia,""La suprema y La constitucional,se van a robar las elecciones a favor de ""PETRO"" ya se robaron las parlamentarias OJO!!",negative,anger
563,"Insisto...el peor enemigo de la llamada #Derecha en #Colombia es la misma ""Derecha""...
Llegar DIVIDIDOS a las elecciones PRESIDENCIALES, No me parece la mejor táctica, para enfrentar al #PapilomaHumano 
Según la posición de los Astros, podría ser Desastroso para el #29Mayo https://t.co/jv4cmhH9mv",negative,fear
106,"@Rettador @petrogustavo @Registraduria @PactoHistorico SI COLOMBIA QUIERE TENER UNAS ELECCIONES DIÁFANAS LIMPIAS Y TRANSPARENTES 
DEBE RETIRAR ESE REGISTRADOR Y TERMINAR EL NEFASTO CONTRATO CON INDRA 
O SE PIERDE LA DEMOCRACIA LA LIBERTADAD DE LOS COLOMBIANOS Y EL PAÍS. 
NO AL REGISTRADOR EN ELECCIONES PRESIDENCIALES.",negative,anger
88,"#ColombiaDecide | Fajardo les respondió a quienes le piden un encuentro con Gustavo Petro

https://t.co/5IhrL6apo4",neutral,anger
360,"Esto está imparable!
 #ProgresistaSigueProgresista , #SúmateAlCambio , #YaLlegaElCambio .
Sigamos sumando y logremos transformar a Colombia con Petro y Francia! A ganar las elecciones en primera vuelta! Sígueme y te sigo!",positive,joy
393,"Episodio 8 - En este nuevo episodio Alicia Eugenia Silva nos plantea una reflexión,  en estas elecciones ¿el país sigue polarizado? o ¿nace un nuevo bipartidismo en Colombia? https://t.co/HYnK26DpNn via @YouTube",neutral,fear
326,"Amor por Colombia ni que nada, sólo por la familia acá porque del resto este país no se saca con amor ni patriotismo. Toca es irse para no ser un muerto más, empezó la época de elecciones y en la Costa ya iniciaron, me duele 💔",negative,sadness
76,"@Enrique_GomezM Hay que sacar al registrador y desbaratar lo que deben tener planeado para robarse las elecciones. Procuradora y fiscalía, está en sus manos salvar a Colombia de las garras del señor de las bolsas y sus malandros.",negative,anger
193,"No. Y están en mora las autoridades para mostrar resultados contra los que votaron dos veces en las parlamentarias y el más de millón de votos que marcaron en corferias. Se van a robar las elecciones.

#ElRiesgoEs #QuienRespondePor #ColombiaDecide #Colombia #FicoPresidente2022 https://t.co/UsQPm1tvcH",negative,anger
212,"@CNSCColombia @DAFP_COLOMBIA @CRCCol @sgcol @MinTIC_responde @MincienciasCo @INMdeColombia @MinEnergiaCo @ANMColombia @IDEAMColombia @ICACOLOMBIA Estos q controlan procesos de la #CNSC programan pruebas cuando un país está dividido por líderes políticos extremistas en elecciones presidenciales, dónde la fuerzas militares y de  policía no son capaces de mantener el orden público, estas pruebas deben ser después del mierdero",negative,anger
614,"@Danielacad3 Consejo de un Venezolano que ama a Colombia. No bajen la guardia, el que cuenta los votos @Registraduria es FICHA DEL FORO DE SAO PAULO. Todavía hay vicios de las elecciones pasadas para favorecer al Pacto Histórico y ni pío a dicho el tipo. Pilas pues",negative,fear
267,"🇨🇴 El próximo domingo 29 de mayo, #Colombia tendrá su jornada de elecciones presidenciales. Aquí te contamos cuáles son las propuestas de tecnología y transformación digital de los 8 candidatos. 🌐👇
https://t.co/ddIaxzHUtS",neutral,joy
351,#ColombiaDecide | Candidatos presidenciales explican cómo combatirían la alta inflación en Colombia https://t.co/U2fxQzaVSR,neutral,joy
298,"Esta es la recopilación de los tarjetones de los últimos 28 años en el país. ¿Cuáles recuerda? 

#Elecciones2022 #ColombiaDecide 
https://t.co/7jcyCwQuni",neutral,joy
